legacy_area,legacy_inventory_examples,alpha_dataset_ids,status,model_relevance,interoperability_action
Demand - residential,"Population, electrification, household electricity use, appliance saturation, cooking fuel share, cooking devices, LPG, SHS, biogas, mini-grid connections","RW_SOCIO_GDP_POP; RW_RES_COOK_FUEL_SHARE; RW_ENBAL_TOTAL_2015_2024",updated_in_alpha,Both,Keep legacy detail as source checklist; validate official baseline before using EPD/private data for historical LEAP calibration.
Demand - commercial industrial public,"Commercial establishments, tariff-class demand, industrial facilities, production output, energy intensity, public sector electricity, WASAC pumping load",RW_ENBAL_TOTAL_2015_2024,missing_detail,Both,Add sector-specific Alpha IDs before beta; current Alpha only preserves aggregate energy balance coverage.
Demand - transport,"Vehicle fleet, VKT, fuel efficiency, fuel imports/consumption, EV fleet and charging profile",RW_TRANSPORT_FUEL_TJ,requires_validation,Both,Use RRA/RURA/RTDA official sources for baseline; keep EV charging profile as scenario data until validated.
Transformation - generation,"Installed capacity, annual generation, capacity factors, capex, O&M, heat rates, fuel costs, commissioning year, planned additions","RW_PWR_CAP_TECH_MW; RW_PWR_GEN_TECH_GWH; RW_TECH_COSTS; RW_PROJECT_PIPELINE",reused_updated,Both,Carry stable generation items into Alpha as direct LEAP transformation and NEMO technology inputs.
Grid and network,"Imports/exports, transmission losses, distribution losses, peak demand, load duration curve, interconnection capacity","RW_PWR_GEN_TECH_GWH; RW_PROJECT_PIPELINE",partial_gap,"NEMO first, LEAP supporting",Create explicit Alpha grid datasets for losses peak demand time slices and interconnect constraints.
Resources - hydro solar biomass methane,"River flows, hydro potential, climate impact, GHI, DNI, solar land, biomass/charcoal production, methane resource data","RW_BIOMASS_CHARCOAL_TJ; RW_TECH_COSTS; RW_PROJECT_PIPELINE",partially_replaced,"NEMO first, LEAP supporting",Use Alpha to separate official resource constraints from international proxies and scenario assumptions.
Socioeconomic and policy drivers,"Population, GDP, household income, urbanization, discount rate, policy targets, NDC assumptions",RW_SOCIO_GDP_POP,reused,Both,Preserve stable driver list and bind Alpha assumptions to 2015-2050 scenario years.
Emissions and factors,"Fuel emission factors, grid factor, technology-specific CO2 factors, IPCC defaults, national inventory values",RW_EF_FUEL_IPCC,updated_in_alpha,Both,Prefer REMA/NDC inventory for official accounting; use IPCC defaults only as documented fallback.
NEMO-specific structure,"Capital recovery factor, residual capacity schedule, capacity bounds, costs, time slices, availability factors, constraints","RW_TECH_COSTS; RW_PROJECT_PIPELINE; RW_PWR_CAP_TECH_MW",requires_validation,NEMO,Keep as derived modelling layer; document equations and source assumptions before export.

