dataset_id,dataset_name,leap_module,leap_branch,leap_variable,leap_unit,nemo_component,nemo_mapping,sdmx_dataflow_id,sdmx_dimensions,required_grain,normalized_dataset_path,provenance_path,validation_record_path,export_ready
RW_ENBAL_TOTAL_2015_2024,National energy balance,Demand; Transformation,Key Assumptions/Energy Balance,Final Energy,TJ; ktoe,fuel_balance,Fuel balance by year,DF_RW_ENBAL_TOTAL,"country,dataset_id,sector,scenario,year,unit",annual,data/master/normalized/common/RW_ENBAL_TOTAL_2015_2024.csv,data/master/provenance/dataset_provenance/RW_ENBAL_TOTAL_2015_2024.json,data/master/validation/validation_log.csv,no
RW_PWR_GEN_TECH_GWH,Electricity generation,Transformation,Transformation/Electricity Generation,Activity Level,GWh,technology_activity,Generation by technology and year,DF_RW_PWR_GEN_TECH_GWH,"country,dataset_id,sector,technology,scenario,year,unit",annual,data/master/normalized/leap/transformation/generation/RW_PWR_GEN_TECH_GWH.csv,data/master/provenance/dataset_provenance/RW_PWR_GEN_TECH_GWH.json,data/master/validation/validation_log.csv,no
RW_PWR_CAP_TECH_MW,Installed capacity,Transformation,Transformation/Existing Capacity,Capacity,MW,capacity,Residual capacity by technology and year,DF_RW_PWR_CAP_TECH_MW,"country,dataset_id,sector,technology,scenario,year,unit",annual,data/master/normalized/leap/transformation/generation/RW_PWR_CAP_TECH_MW.csv,data/master/provenance/dataset_provenance/RW_PWR_CAP_TECH_MW.json,data/master/validation/validation_log.csv,no
RW_RES_COOK_FUEL_SHARE,Residential cooking,Demand,Demand/Households/Cooking,Fuel Share,%; TJ,demand_fuel_share,Cooking fuel share by fuel and year,DF_RW_RES_COOK_FUEL_SHARE,"country,dataset_id,sector,fuel,scenario,year,unit",annual,data/master/normalized/leap/demand/residential/RW_RES_COOK_FUEL_SHARE.csv,data/master/provenance/dataset_provenance/RW_RES_COOK_FUEL_SHARE.json,data/master/validation/validation_log.csv,no
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,Resources,Resources/Biomass,Resource Availability,TJ; tonnes,fuel_constraint,Biomass fuel constraint by year,DF_RW_BIOMASS_CHARCOAL_TJ,"country,dataset_id,sector,fuel,scenario,year,unit",annual,data/master/normalized/leap/resources/biomass_charcoal/RW_BIOMASS_CHARCOAL_TJ.csv,data/master/provenance/dataset_provenance/RW_BIOMASS_CHARCOAL_TJ.json,data/master/validation/validation_log.csv,no
RW_TRANSPORT_FUEL_TJ,Transport fuels,Demand,Demand/Transport,Energy Demand,TJ; litres,demand_proxy,Transport fuel demand by fuel and year,DF_RW_TRANSPORT_FUEL_TJ,"country,dataset_id,sector,fuel,scenario,year,unit",annual,data/master/normalized/leap/demand/transport/RW_TRANSPORT_FUEL_TJ.csv,data/master/provenance/dataset_provenance/RW_TRANSPORT_FUEL_TJ.json,data/master/validation/validation_log.csv,no
RW_SOCIO_GDP_POP,Socioeconomic drivers,Key Assumptions,Key Assumptions/Socioeconomics,Driver,people; RWF; USD,demand_driver,Population GDP and macro drivers by year,DF_RW_SOCIO_GDP_POP,"country,dataset_id,sector,indicator,scenario,year,unit",annual,data/master/normalized/leap/socioeconomic/RW_SOCIO_GDP_POP.csv,data/master/provenance/dataset_provenance/RW_SOCIO_GDP_POP.json,data/master/validation/validation_log.csv,no
RW_EF_FUEL_IPCC,Emission factors,Effects,Effects/Emissions,Emission Factor,tCO2e/TJ,emission_factor,Emission factor by fuel or technology,DF_RW_EF_FUEL_IPCC,"country,dataset_id,sector,fuel,technology,scenario,year,unit",annual,data/master/normalized/leap/emissions/RW_EF_FUEL_IPCC.csv,data/master/provenance/dataset_provenance/RW_EF_FUEL_IPCC.json,data/master/validation/validation_log.csv,no
RW_TECH_COSTS,Technology costs,Transformation,Transformation/Technology Costs,Cost,USD/kW; USD/MWh,cost,Technology CAPEX OPEX and fuel costs,DF_RW_TECH_COSTS,"country,dataset_id,sector,technology,cost_type,scenario,year,unit",annual,data/master/normalized/nemo/costs/RW_TECH_COSTS.csv,data/master/provenance/dataset_provenance/RW_TECH_COSTS.json,data/master/validation/validation_log.csv,no
RW_PROJECT_PIPELINE,Project pipeline,Transformation,Transformation/Planned Additions,Capacity Addition,MW; USD; status,candidate_technology,Project pipeline by technology and status,DF_RW_PROJECT_PIPELINE,"country,dataset_id,sector,technology,status,scenario,year,unit",annual,data/master/normalized/nemo/technologies/RW_PROJECT_PIPELINE.csv,data/master/provenance/dataset_provenance/RW_PROJECT_PIPELINE.json,data/master/validation/validation_log.csv,no

