dataset_id,dataset_name,model,leap_module,leap_branch,leap_variable,leap_unit,nemo_component,nemo_mapping,sdmx_dataflow_id,required_grain,normalized_dataset_path,candidate_evidence_count,top_evidence_ids,top_institutions,top_source_urls,detected_years,detected_units,validation_status,sdmx_gate_status,release_state,blockers,next_action
RW_ENBAL_TOTAL_2015_2024,National energy balance,LEAP,Demand; Transformation,Key Assumptions/Energy Balance,Final Energy,TJ; ktoe,fuel_balance,Fuel balance by year,DF_RW_ENBAL_TOTAL,annual,data/master/normalized/common/RW_ENBAL_TOTAL_2015_2024.csv,3,b782d842626b22b5; 0ffcec8123107309; 3044a8c373de3e30,SEforALL; World Bank,https://www.seforall.org/impact-areas/ending-energy-poverty; https://www.seforall.org/publications/threads-of-transformation-fashion-energy-women-at-the-intersection-of-climate-action; https://data.worldbank.org/indicator/EG.ELC.RNWX.ZS?locations=RW,2025; 2030; 2023; 2025; 2030; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025; 2026; 2050,kwh; kwh; tonnes; gwh; kg; kw; kwh; mw; tj,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PWR_GEN_TECH_GWH,Electricity generation,LEAP,Transformation,Transformation/Electricity Generation,Activity Level,GWh,technology_activity,Generation by technology and year,DF_RW_PWR_GEN_TECH_GWH,annual,data/master/normalized/leap/transformation/generation/RW_PWR_GEN_TECH_GWH.csv,32,13670d0ac1921b6e; 8a45e88de5eec18c; bad262274d52c162; c4cd22c835796d5c; 0f76a61003385eff,EDCL; EUCL; MININFRA; NISR,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/about-us/subsidiaries/eucl/; https://www.reg.rw/what-we-do/generation/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2026; 2029; 2030; 2017; 2019; 2020; 2022; 2030; 2050; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025; 2026; 2027; 2030; 2050; +20 more,kwh; mw; tonnes; mw; kg; %; kg; rwf; kwh; mwh; +2 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PWR_CAP_TECH_MW,Installed capacity,LEAP,Transformation,Transformation/Existing Capacity,Capacity,MW,capacity,Residual capacity by technology and year,DF_RW_PWR_CAP_TECH_MW,annual,data/master/normalized/leap/transformation/generation/RW_PWR_CAP_TECH_MW.csv,63,8a45e88de5eec18c; bad262274d52c162; b56ac821c17b5594; 9ca93d216987a563; d87fae043714f7d5,EUCL; MININFRA,https://www.reg.rw/about-us/subsidiaries/eucl/; https://www.reg.rw/what-we-do/generation/; https://www.mininfra.gov.rw/updates/news-details/energy-partnership-between-rwanda-and-tanzania-advances-regional-integration-agenda; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2025; 2026; 2026; 2020; 2026; +42 more,kwh; mw; tonnes; mw; kg; kwh; kwh; mw; mwh; +3 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_RES_COOK_FUEL_SHARE,Residential cooking,LEAP,Demand,Demand/Households/Cooking,Fuel Share,%; TJ,demand_fuel_share,Cooking fuel share by fuel and year,DF_RW_RES_COOK_FUEL_SHARE,annual,data/master/normalized/leap/demand/residential/RW_RES_COOK_FUEL_SHARE.csv,36,13670d0ac1921b6e; 37e8a9b915518a36; 8a45e88de5eec18c; 8dec88c924dc7129; bad262274d52c162,EDCL; EUCL,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/about-us/subsidiaries/eucl/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; +16 more,kg; rwf; kwh; mw; tonnes; rwf; kwh; mw; +2 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_BIOMASS_CHARCOAL_TJ,Biomass and charcoal,LEAP,Resources,Resources/Biomass,Resource Availability,TJ; tonnes,fuel_constraint,Biomass fuel constraint by year,DF_RW_BIOMASS_CHARCOAL_TJ,annual,data/master/normalized/leap/resources/biomass_charcoal/RW_BIOMASS_CHARCOAL_TJ.csv,19,37e8a9b915518a36; 8dec88c924dc7129; 65fa4490d54b232f; 34f9483d1625ad7e; 3539820fe5e32b00,EUCL,https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/customer-service/electricity-saving-tips/; https://www.reg.rw/customer-service/power-outages/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; 2016; 2018; 2023; 2024; 2025; 2030; 2050; +6 more,kg; rwf; rwf; kwh; mw; %; +1 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_TRANSPORT_FUEL_TJ,Transport fuels,LEAP,Demand,Demand/Transport,Energy Demand,TJ; litres,demand_proxy,Transport fuel demand by fuel and year,DF_RW_TRANSPORT_FUEL_TJ,annual,data/master/normalized/leap/demand/transport/RW_TRANSPORT_FUEL_TJ.csv,54,b56ac821c17b5594; 9ca93d216987a563; d87fae043714f7d5; 8dfb9a1d9164eb63; 82f627efbd5542c0,MININFRA,https://www.mininfra.gov.rw/updates/news-details/energy-partnership-between-rwanda-and-tanzania-advances-regional-integration-agenda; https://www.mininfra.gov.rw/updates/news-details/mininfra-strengthens-district-capacity-to-advance-nature-based-solutions-and-climate-resilient-development; https://www.mininfra.gov.rw/; +2 more,2025; 2026; 2026; 2020; 2026; 2025; 2026; 2050; 2016; 2020; 2024; +15 more,kg; kwh; kwh; mw; mwh; kg; kw; mw; tj,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_SOCIO_GDP_POP,Socioeconomic drivers,LEAP,Key Assumptions,Key Assumptions/Socioeconomics,Driver,people; RWF; USD,demand_driver,Population GDP and macro drivers by year,DF_RW_SOCIO_GDP_POP,annual,data/master/normalized/leap/socioeconomic/RW_SOCIO_GDP_POP.csv,66,37e8a9b915518a36; ab6173ffca98f249; 9ca93d216987a563; 9e93322c35272cbc; b4d9c3e5b85920b4,EUCL; MININFRA; NISR,https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/what-we-do/rbf-programs/rbf-clean-cooking/; https://www.mininfra.gov.rw/updates/news-details/mininfra-strengthens-district-capacity-to-advance-nature-based-solutions-and-climate-resilient-development; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2026; 2025; 2026; 2015; 2020; 2030; +31 more,kg; rwf; rwf; kg; %; tonnes; +2 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_EF_FUEL_IPCC,Emission factors,LEAP,Effects,Effects/Emissions,Emission Factor,tCO2e/TJ,emission_factor,Emission factor by fuel or technology,DF_RW_EF_FUEL_IPCC,annual,data/master/normalized/leap/emissions/RW_EF_FUEL_IPCC.csv,114,9ca93d216987a563; d87fae043714f7d5; c4cd22c835796d5c; 82f627efbd5542c0; 8329f77729db3986,MININFRA; NISR,https://www.mininfra.gov.rw/updates/news-details/mininfra-strengthens-district-capacity-to-advance-nature-based-solutions-and-climate-resilient-development; https://www.mininfra.gov.rw/; https://www.mininfra.gov.rw/updates/news-details/rwanda-reaffirms-commitment-to-clean-energy-transition-as-8th-australia-africa-clean-energy-conference-opens-in-kigali; +2 more,2026; 2020; 2026; 2026; 2029; 2030; 2025; 2026; 2050; 2015; 2020; 2030; +77 more,%; kg; rwf; mw; %; kwh; kwh; mwh; +5 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_TECH_COSTS,Technology costs,LEAP,Transformation,Transformation/Technology Costs,Cost,USD/kW; USD/MWh,cost,Technology CAPEX OPEX and fuel costs,DF_RW_TECH_COSTS,annual,data/master/normalized/nemo/costs/RW_TECH_COSTS.csv,58,13670d0ac1921b6e; 8dec88c924dc7129; 65fa4490d54b232f; 34f9483d1625ad7e; 3539820fe5e32b00,EDCL; EUCL,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/customer-service/electricity-saving-tips/; https://www.reg.rw/customer-service/power-outages/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; 2016; 2018; 2023; 2024; 2025; 2030; 2050; 2025; 2026; +32 more,kwh; %; kwh; mw; mwh; kwh; tonnes; kg; kw; mw; tj,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
RW_PROJECT_PIPELINE,Project pipeline,LEAP,Transformation,Transformation/Planned Additions,Capacity Addition,MW; USD; status,candidate_technology,Project pipeline by technology and status,DF_RW_PROJECT_PIPELINE,annual,data/master/normalized/nemo/technologies/RW_PROJECT_PIPELINE.csv,126,13670d0ac1921b6e; 37e8a9b915518a36; 8a45e88de5eec18c; 8dec88c924dc7129; bad262274d52c162,EDCL; EUCL,https://www.reg.rw/about-us/subsidiaries/edcl/; https://www.reg.rw/what-we-do/biomass/; https://www.reg.rw/about-us/subsidiaries/eucl/; +2 more,2018; 2023; 2024; 2025; 2030; 2050; 2018; 2022; 2023; 2024; 2025; 2030; 2050; 2018; 2023; 2024; 2025; 2026; 2030; 2050; 2015; 2016; 2017; 2018; 2020; 2021; 2023; 2024; 2025; 2030; 2050; 2018; 2021; 2022; 2023; 2024; 2025; 2030; 2050; +73 more,kg; rwf; kwh; mw; tonnes; rwf; kwh; mw; +5 more,candidate,blocked,candidate_evidence_pending_extraction,transformation_log_complete; normalized_dataset_present; missing_aims_ric_approval,Extract numeric values from candidate evidence and create the normalized CSV at the listed path.
